"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"25-29",2025,"3",0.00379999999999882,0.000759999999999764
"25-29",2026,"3",0.000999999999997954,0.000199999999999591
"25-29",2027,"3",0,0
"25-29",2028,"3",0,0
"25-29",2029,"3",0,0
"25-29",2030,"3",0,0
"25-29",2031,"3",0,0
"25-29",2032,"3",0,0
"25-29",2033,"3",0,0
"25-29",2034,"3",0,0
"25-29",2035,"3",0,0
"25-29",2036,"3",0,0
"25-29",2037,"3",0,0
"25-29",2038,"3",0,0
"25-29",2039,"3",0,0
"25-29",2040,"3",0,0
"25-29",2020,"4",0.00339999999999918,0.000679999999999836
"25-29",2021,"4",0.00159999999999911,0.000319999999999823
"25-29",2022,"4",0,0
"25-29",2023,"4",0,0
"25-29",2024,"4",0,0
"25-29",2025,"4",0,0
"25-29",2026,"4",0,0
"25-29",2027,"4",0,0
"25-29",2028,"4",0,0
"25-29",2029,"4",0,0
"25-29",2030,"4",0,0
"25-29",2031,"4",0,0
"25-29",2032,"4",0,0
"25-29",2033,"4",0,0
"25-29",2034,"4",0,0
"25-29",2035,"4",0,0
"25-29",2036,"4",0,0
"25-29",2037,"4",0,0
"25-29",2038,"4",0,0
"25-29",2039,"4",0,0
"25-29",2040,"4",0,0
"25-29",2020,"5+",0,0
"25-29",2021,"5+",0,0
"25-29",2022,"5+",0,0
"25-29",2023,"5+",0,0
"25-29",2024,"5+",0,0
"25-29",2025,"5+",0,0
"25-29",2026,"5+",0,0
"25-29",2027,"5+",0,0
"25-29",2028,"5+",0,0
"25-29",2029,"5+",0,0
"25-29",2030,"5+",0,0
"25-29",2031,"5+",0,0
"25-29",2032,"5+",0,0
"25-29",2033,"5+",0,0
"25-29",2034,"5+",0,0
"25-29",2035,"5+",0,0
"25-29",2036,"5+",0,0
"25-29",2037,"5+",0,0
"25-29",2038,"5+",0,0
"25-29",2039,"5+",0,0
"25-29",2040,"5+",0,0
"30-34",2020,"0",0.829899999999996,0.165979999999999
"30-34",2021,"0",0.821799999999996,0.164359999999999
"30-34",2022,"0",0.813699999999997,0.162739999999999
"30-34",2023,"0",0.805599999999995,0.161119999999999
"30-34",2024,"0",0.797499999999995,0.159499999999999
"30-34",2025,"0",0.789399999999996,0.157879999999999
"30-34",2026,"0",0.781299999999997,0.156259999999999
"30-34",2027,"0",0.773199999999995,0.154639999999999
"30-34",2028,"0",0.765099999999995,0.153019999999999
"30-34",2029,"0",0.756999999999996,0.151399999999999
